Date,"Spot exchange rate, US $ into Sterling  "
30-Sep-24,1.3413
27-Sep-24,1.3408
26-Sep-24,1.3396
25-Sep-24,1.3375
24-Sep-24,1.339
23-Sep-24,1.335
20-Sep-24,1.3281
19-Sep-24,1.325
18-Sep-24,1.3212
17-Sep-24,1.3188
16-Sep-24,1.32
13-Sep-24,1.3155
12-Sep-24,1.3079
11-Sep-24,1.3015
10-Sep-24,1.3057
09-Sep-24,1.3079
06-Sep-24,1.316
05-Sep-24,1.3158
04-Sep-24,1.3161
03-Sep-24,1.3095
02-Sep-24,1.3152
30-Aug-24,1.3144
29-Aug-24,1.3155
28-Aug-24,1.3213
27-Aug-24,1.3235
23-Aug-24,1.3189
22-Aug-24,1.3103
21-Aug-24,1.3061
20-Aug-24,1.3031
19-Aug-24,1.2986
16-Aug-24,1.289
15-Aug-24,1.2853
14-Aug-24,1.2856
13-Aug-24,1.2824
12-Aug-24,1.2785
09-Aug-24,1.2764
08-Aug-24,1.2715
07-Aug-24,1.2721
06-Aug-24,1.2706
05-Aug-24,1.2759
02-Aug-24,1.2807
01-Aug-24,1.2793
31-Jul-24,1.2844
30-Jul-24,1.2828
29-Jul-24,1.2847
26-Jul-24,1.2853
25-Jul-24,1.2877
24-Jul-24,1.2918
23-Jul-24,1.2908
22-Jul-24,1.2913
19-Jul-24,1.2917
18-Jul-24,1.2978
17-Jul-24,1.3014
16-Jul-24,1.2948
15-Jul-24,1.2984
12-Jul-24,1.2989
11-Jul-24,1.2924
10-Jul-24,1.283
09-Jul-24,1.2797
08-Jul-24,1.2833
05-Jul-24,1.2798
04-Jul-24,1.2762
03-Jul-24,1.2762
02-Jul-24,1.2676
01-Jul-24,1.2647
28-Jun-24,1.2642
27-Jun-24,1.2651
26-Jun-24,1.2623
25-Jun-24,1.2672
24-Jun-24,1.2688
21-Jun-24,1.2626
20-Jun-24,1.2686
19-Jun-24,1.2732
18-Jun-24,1.269
17-Jun-24,1.268
14-Jun-24,1.2667
13-Jun-24,1.2767
12-Jun-24,1.2843
11-Jun-24,1.2712
10-Jun-24,1.2717
07-Jun-24,1.2724
06-Jun-24,1.2773
05-Jun-24,1.276
04-Jun-24,1.278
03-Jun-24,1.2772
31-May-24,1.2731
30-May-24,1.2739
29-May-24,1.2715
28-May-24,1.2777
24-May-24,1.2738
23-May-24,1.2712
22-May-24,1.2724
21-May-24,1.2723
20-May-24,1.2708
17-May-24,1.2698
16-May-24,1.2668
15-May-24,1.2649
14-May-24,1.2589
13-May-24,1.2563
10-May-24,1.2508
09-May-24,1.2512
08-May-24,1.2493
07-May-24,1.2554
03-May-24,1.2546
02-May-24,1.2485
01-May-24,1.2492
30-Apr-24,1.252
29-Apr-24,1.2548
26-Apr-24,1.2462
25-Apr-24,1.2489
24-Apr-24,1.2433
23-Apr-24,1.2433
22-Apr-24,1.2331
19-Apr-24,1.2434
18-Apr-24,1.2444
17-Apr-24,1.245
16-Apr-24,1.2442
15-Apr-24,1.2451
12-Apr-24,1.2435
11-Apr-24,1.252
10-Apr-24,1.2566
09-Apr-24,1.2675
08-Apr-24,1.2647
05-Apr-24,1.2615
04-Apr-24,1.2668
03-Apr-24,1.2619
02-Apr-24,1.2567
28-Mar-24,1.2632
27-Mar-24,1.2629
26-Mar-24,1.2628
25-Mar-24,1.2645
22-Mar-24,1.2601
21-Mar-24,1.2668
20-Mar-24,1.2711
19-Mar-24,1.2711
18-Mar-24,1.2733
15-Mar-24,1.274
14-Mar-24,1.2747
13-Mar-24,1.2797
12-Mar-24,1.2784
11-Mar-24,1.2805
08-Mar-24,1.2881
07-Mar-24,1.2789
06-Mar-24,1.2743
05-Mar-24,1.2732
04-Mar-24,1.2698
01-Mar-24,1.2652
29-Feb-24,1.265
28-Feb-24,1.2653
27-Feb-24,1.2683
26-Feb-24,1.2684
23-Feb-24,1.2677
22-Feb-24,1.2621
21-Feb-24,1.2612
20-Feb-24,1.2662
19-Feb-24,1.2587
16-Feb-24,1.2584
15-Feb-24,1.2585
14-Feb-24,1.2549
13-Feb-24,1.2601
12-Feb-24,1.2615
09-Feb-24,1.2632
08-Feb-24,1.2605
07-Feb-24,1.2632
06-Feb-24,1.2577
05-Feb-24,1.2521
02-Feb-24,1.2657
01-Feb-24,1.2682
31-Jan-24,1.2733
30-Jan-24,1.2666
29-Jan-24,1.2678
26-Jan-24,1.2723
25-Jan-24,1.27
24-Jan-24,1.2753
23-Jan-24,1.2666
22-Jan-24,1.2721
19-Jan-24,1.268
18-Jan-24,1.2672
17-Jan-24,1.2658
16-Jan-24,1.2665
15-Jan-24,1.2731
12-Jan-24,1.2761
11-Jan-24,1.2714
10-Jan-24,1.2736
09-Jan-24,1.2704
08-Jan-24,1.275
05-Jan-24,1.2752
04-Jan-24,1.2699
03-Jan-24,1.2628
02-Jan-24,1.2625
29-Dec-23,1.2747
28-Dec-23,1.277
27-Dec-23,1.2789
22-Dec-23,1.2716
21-Dec-23,1.2656
20-Dec-23,1.2668
19-Dec-23,1.2739
18-Dec-23,1.2645
15-Dec-23,1.2699
14-Dec-23,1.276
13-Dec-23,1.2526
12-Dec-23,1.2561
11-Dec-23,1.2551
08-Dec-23,1.2547
07-Dec-23,1.2574
06-Dec-23,1.2593
05-Dec-23,1.2613
04-Dec-23,1.2612
01-Dec-23,1.2635
30-Nov-23,1.2656
29-Nov-23,1.2697
28-Nov-23,1.2683
27-Nov-23,1.2607
24-Nov-23,1.2608
23-Nov-23,1.2531
22-Nov-23,1.246
21-Nov-23,1.2533
20-Nov-23,1.2493
17-Nov-23,1.2433
16-Nov-23,1.2444
15-Nov-23,1.2444
14-Nov-23,1.2455
13-Nov-23,1.2253
10-Nov-23,1.2198
09-Nov-23,1.2287
08-Nov-23,1.2296
07-Nov-23,1.2305
06-Nov-23,1.2397
03-Nov-23,1.2373
02-Nov-23,1.2173
01-Nov-23,1.2126
31-Oct-23,1.2134
30-Oct-23,1.2156
27-Oct-23,1.2141
26-Oct-23,1.2121
25-Oct-23,1.2144
24-Oct-23,1.2178
23-Oct-23,1.2208
20-Oct-23,1.215
19-Oct-23,1.2143
18-Oct-23,1.2146
17-Oct-23,1.2182
16-Oct-23,1.2189
13-Oct-23,1.2141
12-Oct-23,1.2214
11-Oct-23,1.2312
10-Oct-23,1.2257
09-Oct-23,1.221
06-Oct-23,1.2188
05-Oct-23,1.216
04-Oct-23,1.2115
03-Oct-23,1.208
02-Oct-23,1.2122
29-Sep-23,1.2207
28-Sep-23,1.2198
27-Sep-23,1.213
26-Sep-23,1.2168
25-Sep-23,1.2198
22-Sep-23,1.2265
21-Sep-23,1.2288
20-Sep-23,1.2398
19-Sep-23,1.2402
18-Sep-23,1.238
15-Sep-23,1.2395
14-Sep-23,1.2415
13-Sep-23,1.249
12-Sep-23,1.2466
11-Sep-23,1.2529
08-Sep-23,1.2485
07-Sep-23,1.2476
06-Sep-23,1.2491
05-Sep-23,1.2554
04-Sep-23,1.2618
01-Sep-23,1.2619
31-Aug-23,1.2673
30-Aug-23,1.2727
29-Aug-23,1.2589
25-Aug-23,1.2554
24-Aug-23,1.2648
23-Aug-23,1.2683
22-Aug-23,1.2732
21-Aug-23,1.2727
18-Aug-23,1.2716
17-Aug-23,1.2757
16-Aug-23,1.2753
15-Aug-23,1.2745
14-Aug-23,1.2661
11-Aug-23,1.2713
10-Aug-23,1.2735
09-Aug-23,1.2732
08-Aug-23,1.2722
07-Aug-23,1.2772
04-Aug-23,1.2757
03-Aug-23,1.2697
02-Aug-23,1.2689
