Time Period,All retail incl. fuel,All retail excl. fuel,food stores,non-food stores,Non-specialised stores,"Textile, clothing and footwear",Household goods stores,Other stores,Non-store retail,Automotive fuel
1988 Jan,,28.5,25.2,36,31.8,35,48.3,32,15.6,
1988 Feb,,28,25.2,35.2,31.7,33.9,47,31.2,15.1,
1988 Mar,,28.1,25.3,35.2,31.9,33.5,47.3,31.3,15.5,
1988 Apr,,28.4,25.5,35.7,31.9,33.9,48.3,31.8,15.7,
1988 May,,28.6,25.4,36,32.5,34.3,48.4,32.1,15.9,
1988 Jun,,29,25.6,36.7,32.7,35.2,49.1,32.8,16.2,
1988 Jul,,29.5,25.5,37.8,33,35.6,52.8,33.4,16.4,
1988 Aug,,29.6,25.9,37.7,33.1,35.5,51.4,33.8,16.4,
1988 Sep,,29.4,25.9,37.5,33.3,35.6,50.7,33.5,15.9,
1988 Oct,,30,26.2,38.4,34,36.5,51.9,34.3,16.5,
1988 Nov,,30.3,26.4,38.7,34.2,37.2,51.6,34.8,16.6,
1988 Dec,,30.3,26.6,38.6,33.5,36.6,52,35.1,16.6,
1989 Jan,,30.3,26.2,38.9,34.1,36.9,51.3,35.8,16.6,
1989 Feb,,30.5,26.8,38.8,33.9,36.6,51.3,36,16.9,
1989 Mar,,30.7,26.9,39.1,34.2,37.3,51.7,35.7,16.9,
1989 Apr,,30.9,27.1,39.4,34.3,37.4,52.8,36.1,16.8,
1989 May,,31.4,27.5,40.2,35.4,39.2,51.9,36.7,17.1,
1989 Jun,,31.1,27.7,39.3,34.3,37.3,51.2,36.7,17,
1989 Jul,,31.1,27.7,39.2,34.1,37.1,51.3,36.6,16.9,
1989 Aug,,31.4,27.9,39.8,35.2,37.4,52.3,37.1,16.9,
1989 Sep,,31.7,28,40.3,35.1,38,52.4,37.8,17.2,
1989 Oct,,31.9,28.3,40.5,35.2,38,53,38.1,17.2,
1989 Nov,,32.1,28.5,40.7,35.6,38.5,53.2,38,17.1,
1989 Dec,,32.5,28.9,41,34.9,38.5,54.3,38.6,17.7,
1990 Jan,,32.7,28.8,41.6,35.6,39.4,53.4,39.6,17.7,
1990 Feb,,33.2,29.2,42.3,36.5,40.6,54.6,39.6,17.7,
1990 Mar,,33.4,29.4,42.7,36.8,41.2,53.9,40.6,17.9,
1990 Apr,,33.1,29.1,42.1,36.3,40.5,53.6,39.8,18.2,
1990 May,,34.1,30.3,43.2,37.7,42.3,54.7,40.2,18.1,
1990 Jun,,33.5,29.8,42.3,36.6,40.2,54.6,39.9,18.2,
1990 Jul,,34.1,30.4,43.1,37.2,42,53.8,40.8,18.2,
1990 Aug,,33.7,30.3,42.4,37.4,40.2,53.5,40.3,18.2,
1990 Sep,,33.9,30.7,42.5,37.4,40.6,53.3,40.5,18,
1990 Oct,,33.8,30.6,42.4,36.9,39.6,53.4,41.1,17.8,
1990 Nov,,33.7,30.6,42.1,36.6,39.6,53.5,40.4,17.7,
1990 Dec,,34.2,31.1,42.5,37.2,39.9,54.1,40.7,18.8,
1991 Jan,,33.9,31.2,42,37.8,40,52.3,39.8,17.9,
1991 Feb,,33.9,31.4,42,37.2,39.8,52.8,40,17.2,
1991 Mar,,35,32,44,38.3,41,56.7,41.9,17.6,
1991 Apr,,34.8,32.1,43.3,39,40.9,53.7,41.6,17.6,
1991 May,,34.8,32,43.2,39.3,40.9,53.8,41.1,17.7,
1991 Jun,,34.8,32.4,42.9,39.1,40.7,53.8,40.3,17.8,
1991 Jul,,35.5,33,43.9,39.5,42.4,53.7,41.8,18.1,
1991 Aug,,35.1,33.1,43,39.1,40.7,53.1,41.2,17.9,
1991 Sep,,35,33.1,42.6,39.1,39.9,53.1,40.4,17.9,
1991 Oct,,35,32.8,43,39,39.8,53.3,41.8,17.9,
1991 Nov,,35.2,32.9,43.1,38.9,40,53.7,41.9,18.1,
1991 Dec,,35.5,33.5,43.4,38.4,40.5,54.5,42.1,18.2,
1992 Jan,,35.5,33.2,43.8,39.7,40,54.2,43,17.8,
1992 Feb,,35.8,33.8,43.8,39.5,40.3,54.6,42.6,17.7,
1992 Mar,,35.3,33.9,42.9,39.1,39.6,52.8,41.9,16.8,
1992 Apr,,35.7,34.1,43.6,40.1,39.3,53.7,43.1,17.2,
1992 May,,36.1,34.2,44.4,39.9,41.9,52.8,43.8,17.4,
1992 Jun,,35.7,34.1,43.7,40.4,39.5,53.1,43.3,17.3,
1992 Jul,,35.4,33.8,43.3,40.4,39.9,52.9,42,17.1,
1992 Aug,,36,34,44.3,40.8,41.7,54.3,42.6,17.3,
1992 Sep,,36,34.4,43.7,40.7,41,53.7,41.5,18.4,
1992 Oct,,36.3,34.8,43.9,41.1,41.6,53.2,41.9,18.1,
1992 Nov,,36.3,34.9,43.7,40.3,40.9,53.3,42.4,18.3,
1992 Dec,,36.1,34.9,43.8,41.3,41.1,53,41.9,16.8,
1993 Jan,,36.9,35.4,44.6,42.8,41.4,55.6,41.7,18.2,
1993 Feb,,36.9,35.2,45,41.8,41.6,56.4,42.8,18.3,
1993 Mar,,37.1,35.4,45,41.7,40.9,56.7,43.2,18.7,
1993 Apr,,37.1,35.4,45.2,42.4,41.4,56.6,43.2,18.3,
1993 May,,37.1,35.6,45.1,42.4,41.1,56.5,43.1,18,
